src	trg	nij	score
1989	Alto Aria	2	0.9999999999200365
1989	CTM	1	0.9999999233821695
1989	Frederik Valentin	1	0.9999999233821695
1989	Frederikke Hoffmeier	1	0.9999999233821695
1989	Hannes Norrvide	1	0.999999997871264
1989	Jeuru	1	0.9999996936086532
1989	Jonnine Standish	1	0.9999999233821695
1989	Kristy Long	1	0.9999999808430426
1989	Mads Bergland	1	0.9999999233821695
1989	Malthe Fischer	3	0.9999999999998793
1989	Maria Leth Schütze	1	0.9999999233821695
1989	NikkiH2OP	1	0.9999999233821695
1989	Perko	1	0.9999999233821695
1989	Rose Alliance	1	0.9999999808430426
1989	Scandinavian Star	1	0.9999999233821695
1989	Soho Rezanejad	1	0.9999999233821695
1989	Vallmo	1	0.9999999233821695
1989	Vanessa Amara	1	0.9999999233821695
1989	Ville Haimala	1	0.999999997871264
4-Eyed Thomas	Knud Odde Sørensen	2	0.9999999902856502
4-Eyed Thomas	Lars Top-Galia	2	0.999999974410688
4-Eyed Thomas	Link Wray	1	0.9999998696586572
4-Eyed Thomas	Lise	1	0.9999998696586572
4-Eyed Thomas	Odde	1	0.9999998696586572
4-Eyed Thomas	Peter Peter	2	0.9999999225110138
4-Eyed Thomas	Steen Jørgensen	2	0.9999999327132412
4-Eyed Thomas	Tomas Ortved	2	0.9999999284580344
4.B Fra Giersings Realskole	Anders Møller	1	0.9999999716093979
4.B Fra Giersings Realskole	Jesper Haugaard	1	0.9999992073411913
5star	Benjamin Lasnier	1	0.9999998851001068
5star	Benny Jamz	1	0.9999996084944242
5star	Jos Beats	1	0.9999998851001068
5star	Karl William	1	0.9999998851001068
5star	Lukas Visti	1	0.9999994284449345
5star	LukasBL	1	0.9999998851001068
A Roland	Asger Jacobsen	1	0.9999999165758608
A Roland	Bent Petersen	1	0.9999999165758608
A Roland	Bo Hübert	1	0.9999999165758608
A Roland	Dorte Hylstrup	1	0.9999999165758608
A Roland	Kim Helweg	1	0.99999979089354
A Roland	Lotte Gundlev	1	0.9999996936086532
A Roland	Michael Brenner	1	0.9999998517038823
A Roland	Morten Løkken	1	0.9999999165758608
A Roland	Robert Langkilde	1	0.9999999165758608
A.G.	André Saptefrati	1	0.9999993566067946
A.G.	Baloosh	1	0.9999993566067946
A.G.	Bawer	1	0.9999993566067946
A.G.	BesiMadeThis	1	0.9999993566067946
A.G.	Countin Stacks	1	0.9999993566067946
A.G.	J Caspersen	1	0.9999993566067946
A.G.	Leroy Menace	1	0.9999993566067946
A.G.	SallySongs	1	0.9999993566067946
A.G.	Shkelzim Latifi	1	0.9999993566067946
A.G.	Shooter Gang	1	0.9999993566067946
A.G.	Smiley	1	0.9999993566067946
A2 Difulani	Cameron Joseph	1	0.9999995778090418
A2 Difulani	Carl Altino	1	0.9999993694055493
A2 Difulani	George Clutch	1	0.9999995778090418
A2 Difulani	J Gotit	1	0.9999995778090418
A2 Difulani	Joshua Duncan	1	0.9999995778090418
A2 Difulani	Luko	1	0.9999995778090418
A2 Difulani	Skeyez Beats	1	0.9999995778090418
A2 Difulani	William Bach Gislinge	1	0.9999993694055493
A2 Difulani	llouis	1	0.9999995778090418
ABC Teatrets Tyrolerorkester	Dirch Passer	1	0.9999997132600229
