artist,band,year,Role
1989,Croatian Amor,2013,Performer [Croatian Amor Is]
1989,Croatian Amor,2014,Performer
1989,Croatian Amor,2016,Performer
1989,Croatian Amor,2019,Performer
1989,Croatian Amor,2022,Performer
1989,Croatian Amor,2023,Performer
1993,Mads Langer,2021,Producer
4-Eyed Thomas,Sort Sol,1987,Producer
4-Eyed Thomas,Sort Sol,1991,"Consultant [Consultations], Other [Demos]"
4.B Fra Giersings Realskole,Kim Larsen & Kjukken,2006,Choir [Children]
5star,Lamin,2021,Performer
6. klasserne på Skt. Jørgens Skole i Roskilde,Sanne Salomonsen,2011,Performer [Backing Vocals]
A Roland,Dorthe Kollo,1986,Drums
A.G.,L.O.C.,2021,Producer
A2 Difulani,Sivas,2022,Featuring
ABC Teatrets Tyrolerorkester,Dirch Passer,1959,Orchestra
ADL,Outlandish,2005,Featuring
AJ Knight,Burhan G,2013,Bass
AJ Knight,Burhan G,2016,Accompanied By
AJ Knight,Burhan G,2019,Bass Guitar
Aage Berthelsen,Otto Brandenburg,1975,Strings
Aage Berthelsen,Jørgen Ingmann,1977,Strings
Aage Hagen,Tøsedrengene,1979,Keyboards
Aage Hagen,Tøsedrengene,1982,Keyboards
Aage Hagen,Tøsedrengene,1983,"Grand Piano, Clavinet, Synthesizer"
Aage Hagen,Tøsedrengene,1984,Keyboards
Aage Hagen,Tøsedrengene,1985,Keyboards
Aage Haugland,Povl Dissing & Benny Andersen,1988,Backing Vocals
Aage Haugland,Sebastian,1995,Performer [Lampens Ånd]
Aage Haugland,Det Kongelige Kapel,2000,Bass Vocals
Aage Juhl Thomsen,Valdemar Davids,1926,Vocals
Aage Juhl Thomsen,Aage Juhl Thomsens Orkester,1928,Conductor
Aage Juhl Thomsen,Aage Juhl Thomsens Orkester,1929,Conductor
Aage Juhl Thomsen,Aage Juhl Thomsens Orkester,1936,Conductor
Aage Juhl Thomsen,Aage Juhl Thomsens Orkester,1937,Conductor
Aage Juhl Thomsen,Aage Juhl Thomsens Orkester,1938,Conductor
Aage Juhl Thomsen,Aage Juhl Thomsens Orkester,1939,Conductor
Aage Juhl Thomsen,Aage Juhl Thomsens Orkester,1940,Conductor
Aage Juhl Thomsen,Aage Juhl Thomsens Orkester,1941,Conductor
Aage Juhl Thomsen,De Tre Fra Radioen,1942,Conductor
Aage Juhl Thomsen,Aage Juhl Thomsens Orkester,1942,Conductor
Aage Juhl Thomsen,Aage Juhl Thomsens Orkester,1943,Conductor
Aage Juhl Thomsen,Aage Juhl Thomsens Orkester,1944,Conductor
Aage Juhl Thomsen,Aage Juhl Thomsens Orkester,1945,Conductor
Aage Juhl Thomsen,Aage Juhl Thomsens Orkester,1946,Conductor
Aage Juhl Thomsen,Aage Juhl Thomsens Orkester,1947,Conductor
Aage Juhl Thomsen,Aage Juhl Thomsens Orkester,1948,Conductor
Aage Juhl Thomsen,Aage Juhl Thomsens Orkester,1949,Conductor
Aage Juhl Thomsen,Aage Juhl Thomsens Orkester,1950,Conductor
Aage Juhl Thomsen,Aage Juhl Thomsens Orkester,1951,Conductor
Aage Juhl Thomsen,Aage Juhl Thomsens Orkester,1952,Conductor
Aage Juhl Thomsens Danseorkester,Valdemar Davids,1926,Orchestra
Aage Juhl Thomsens Orkester,Aage Juhl Thomsens Orkester,1928,Orchestra
Aage Juhl Thomsens Orkester,Aage Juhl Thomsens Orkester,1929,Orchestra
Aage Juhl Thomsens Orkester,Aage Juhl Thomsens Orkester,1936,Orchestra
Aage Juhl Thomsens Orkester,Aage Juhl Thomsens Orkester,1937,Orchestra
Aage Juhl Thomsens Orkester,Aage Juhl Thomsens Orkester,1938,Orchestra
Aage Juhl Thomsens Orkester,Aage Juhl Thomsens Orkester,1939,Orchestra
Aage Juhl Thomsens Orkester,Aage Juhl Thomsens Orkester,1940,Orchestra
Aage Juhl Thomsens Orkester,Axel Boesen,1941,Orchestra
Aage Juhl Thomsens Orkester,Aage Juhl Thomsens Orkester,1941,Orchestra
Aage Juhl Thomsens Orkester,Aksel Schiøtz,1941,Orchestra
Aage Juhl Thomsens Orkester,De Tre Fra Radioen,1942,Orchestra
Aage Juhl Thomsens Orkester,Aage Juhl Thomsens Orkester,1942,Orchestra
Aage Juhl Thomsens Orkester,Aage Juhl Thomsens Orkester,1943,Orchestra
Aage Juhl Thomsens Orkester,Aage Juhl Thomsens Orkester,1944,Orchestra
Aage Juhl Thomsens Orkester,Aage Juhl Thomsens Orkester,1945,Orchestra
Aage Juhl Thomsens Orkester,Aage Juhl Thomsens Orkester,1946,Orchestra
Aage Juhl Thomsens Orkester,Aage Juhl Thomsens Orkester,1947,Orchestra
