src	trg	nij	score
100081	119629	2	0.9999999947922285
100081	1266421	3	0.999999999968392
100081	1991371	1	0.9999998956817272
100081	2763317	2	0.9999999995271156
100081	94685	1	0.9999999906093536
100317	15900	10	0.9999999999981792
100317	261016	5	0.9999999963481052
100317	314527	3	0.9999999642734204
100317	527548	4	0.9999999830964869
100317	531283	3	0.999999996733065
100358	1241686	3	0.9999999126122884
100358	17967	6	0.999999999999752
100358	371806	8	0.9999999999902894
100358	552466	2	0.9999999856091918
100358	61848	6	0.9999999989836328
100358	98684	4	0.9999999519114796
10075066	130112	6	0.9999999999995084
10075066	1333580	22	1.0
10075066	152754	15	0.9999999999999968
10075066	31759	8	0.9999999993106772
10075066	371808	10	0.9999999999509184
10075066	385292	9	0.999999999999845
10075066	503124	7	0.9999999490514552
10075066	836637	27	1.0
1010217	1168594	5	0.9999999956278376
1010217	360695	4	0.9999999999664932
1012486	1516677	1	0.9999999781960056
1012486	265585	1	0.9999999424288366
1012486	339423	6	1.0
1012486	523051	1	0.999999983306026
1012486	73018	2	0.9999999990689656
1013964	1781869	1	0.9999999804079656
1013964	86611	11	1.0
1014217	1596044	12	0.999999996917021
1014918	170103	2	0.9999999854816056
1014918	1935508	2	0.9999999078975972
1014918	2023385	2	0.999999916377372
1014918	270982	2	0.999999879067896
1014918	3187190	4	0.9999999999999996
1014918	503111	2	0.9999999867240328
1015994	917491	9	1.0
1015994	917503	3	0.9999999634489724
1015994	920110	7	0.9999999999999994
1015994	936712	5	0.9999999999999608
1015994	942209	8	0.9999999999997572
1016985	1247151	7	1.0
1016985	349217	7	0.9999999999999998
1016985	361409	4	0.9999999999999432
1016985	660715	3	0.9999999888796508
1016985	798540	5	0.9999999999987224
1016985	900001	4	0.9999998798586232
1018682	1024262	6	0.9999999999996194
1018682	1108656	9	1.0
1018682	15900	8	0.9999999929875056
1018682	281971	4	0.9999999040888696
1018682	319970	8	0.9999999996636728
1018682	560717	3	0.9999999817561576
1018682	683182	6	0.9999999967863769
1018682	739929	6	0.9999998092671446
1018682	786609	7	0.9999999999999024
1018682	826240	5	0.999999999674446
1020377	1237993	11	1.0
1020377	1780675	4	0.999999961235672
1020394	180953	4	0.9999999857774654
1020545	15900	9	0.999999998748528
1020545	281531	6	0.9999998545320914
1020545	319974	4	0.999999933773287
1020545	359000	5	0.999999940901838
1020545	58770	5	0.999999999839073
1020545	633399	4	0.9999999996201178
1021364	349221	7	0.9999999999999556
1021471	1230042	4	0.9999999999224188
1021471	281971	3	0.9999998047196608
1021471	658162	3	0.9999999240141474
102229	119945	3	0.999999999999974
102229	579977	1	0.999999958778975
102229	75701	6	1.0
102229	75815	2	0.9999999999684428
1023518	1471775	4	0.99999999999995
1024262	15900	5	0.999999961258371
1024262	618714	3	0.9999999944010852
1024262	786609	3	0.999999969023027
1024414	277024	4	0.999999971776512
1024414	305274	3	0.999999927549833
1024414	315187	3	0.9999999946371564
1024414	359797	4	0.9999999999885164
1024685	2496156	1	0.9999999516233188
1024685	319970	3	0.999999998005026
1024685	9762	2	0.9999999934775642
102515	104930	2	0.9999999999999384
102515	109601	2	0.9999999999992168
102515	154749	2	0.9999999999969608
102515	5944	1	0.9999998485965546
102515	75701	1	0.999999873778734
1025541	1560631	5	0.9999999999999984
1025541	379964	4	0.9999999999242268
1025541	608605	4	0.9999999998447052
1028577	1051278	2	0.9999999171955752
1028577	1385149	2	0.9999999034512316
1028577	1456443	2	0.999999806033382
1028577	3521922	2	0.999999817300885
1028577	4077708	2	0.9999999650148832
1028577	932480	2	0.99999995278539
1028578	1051236	4	0.999999999940852
1028578	1125595	4	0.9999999999975396
1028578	921305	4	0.999999999996439
1028578	921307	4	0.99999999999828
1028578	921314	4	0.9999999999986656
1029868	1045027	2	0.9999999956934792
1029868	1446975	3	0.9999999948062784
1030483	1031919	3	0.9999999999637648
1030483	283105	4	0.999999999991924
1030483	976382	3	0.9999999988424896
1030927	1043965	5	1.0
1030927	1116081	7	1.0
1030927	1309434	2	0.999999981795331
1030927	1497413	2	0.9999999953025128
1030927	638214	3	0.9999999985460324
1030927	807471	3	0.999999999934332
1030927	909370	2	0.9999999625058243
1031381	455012	1	0.999999874869012
1031381	920055	1	0.9999999884067272
1031910	1066396	4	0.9999999977553116
1031910	2072544	4	0.999999923341624
1031913	1031914	14	1.0
1031913	1031926	3	0.9999999989343188
1031913	1060466	2	0.9999999535296574
1031913	1791649	2	0.9999999838226988
1031913	2629359	4	0.9999999999999613
1031913	560714	3	0.9999999935202496
1031914	1031926	5	0.9999999996139078
1031914	1031931	4	0.9999999998961286
1031914	1283662	11	0.9999999999998976
1031914	1791649	4	0.9999999998133334
1031914	2168241	5	0.999999800826147
1031914	2629359	7	1.0
1031914	5520913	4	0.999999887569982
1031914	560714	18	1.0
1031919	8722	3	0.9999999954214984
1031919	917468	3	0.9999999996152557
1031926	1791649	9	1.0
1031926	2629359	11	1.0
1031926	560714	10	1.0
1031931	1721207	2	0.9999999939892698
1031931	2629359	2	0.9999999837078276
1032099	1185514	3	0.999999996875793
1032099	1374993	3	0.999999967149642
1032099	1449554	4	0.9999999987029068
1032099	1552147	3	0.9999999583473363
1032099	1609939	3	0.9999999988533176
1032099	2023385	6	0.9999999999999972
1032099	2048251	4	0.9999999904948172
1032099	212096	5	0.9999999999957718
1032099	344890	9	0.9999999999999069
1032099	3555555	3	0.9999998323089132
1032099	487468	7	0.9999999999999998
1032099	503109	15	1.0
1032099	503173	4	0.9999999264553938
1032099	792226	3	0.9999999583473363
1033608	900001	11	1.0
1034116	1212817	12	1.0
1034116	1828151	3	0.9999999990630226
1034116	2168241	15	1.0
1034116	282973	9	1.0
1034116	2987470	4	0.9999999994525356
1034116	319050	5	0.9999999999988282
1034116	495363	5	0.999999999999456
1034116	580306	3	0.9999999630573354
1034116	630133	10	1.0
1034116	724480	22	1.0
1034969	384102	3	0.9999998488149754
1034969	384104	5	0.999999996196175
1034969	697022	2	0.9999998980860212
1034969	730915	5	0.9999999999454708
1035038	1173236	1	0.9999999863342528
1035038	1524836	1	0.999999999763382
1035112	2040069	3	0.9999999649448076
1035112	2219337	7	0.9999999999999996
1035112	2292319	4	0.9999999516276242
1035112	2744907	7	1.0
1035112	50616	8	0.999999999999941
1036614	281856	17	0.9999999994810872
1036614	319960	17	0.999999921318931
1036614	443966	30	0.9999999999987128
1036618	175008	6	0.9999999999781848
1036618	503124	5	0.9999998834402064
1036620	492168	8	0.9999999381345248
1036625	1094580	1	0.9999999962142768
1036625	1208582	1	0.9999999996592712
1036625	1411626	1	0.9999999996592712
1036625	427745	1	0.999999983306026
1036666	1400400	7	1.0
1036666	1861683	2	0.9999998705704192
1038379	1239155	2	0.9999999028478114
1038379	170972	3	0.9999999938435956
1038379	208700	2	0.9999999699702696
1038379	2280053	4	0.9999999999999774
1038379	455362	2	0.9999999531585076
10429	15973	9	1.0
10429	176150	2	0.999999942323338
10429	19761	12	1.0
10429	19792	8	1.0
10429	19800	10	1.0
10429	36233	12	1.0
10429	4254021	2	0.9999999931725384
1043562	1393386	5	1.0
1043562	1784776	3	0.999999999999974
1043562	1809195	2	0.9999999982455507
1043562	319180	2	0.999999994888591
1043562	436167	6	1.0
1043576	1162238	1	0.999999931633266
1043576	1186952	1	0.999999874869012
1043576	1595366	1	0.99999994677176
1043576	1790	2	0.9999999996109272
1043576	780742	3	0.9999999999999986
1043965	1309434	2	0.999999999853944
1043965	1561231	1	0.9999999053788792
1043965	638214	3	0.9999999999976532
1043965	807471	3	0.9999999999998944
1044351	191166	29	0.999999879028303
1044351	350834	46	0.9999998860489347
1044351	443966	39	0.9999999683642572
1044473	2169586	2	0.9999999999999992
1044473	3056313	2	0.9999999999994604
1044517	1579409	3	0.9999999981699842
1044517	2097630	4	0.9999999923305188
1044517	2434213	3	0.9999999130051758
1044517	707941	6	1.0
1045027	683182	6	0.9999999999999958
