band	id
'E Zezi	975509
1782	6946416
2 Minuta Dreka	434854
24 Grana	1025541
291out	3239107
3/4HadBeenEliminated	554116
49ers	34155
8 Mix	88916
883	137933
99 Posse	389919
999999999	3693507
A Short Apnea	170103
A Toys Orchestra	859438
A.T.R.O.X.	680430
Abhor	417464
Aborym	263902
Above the Tree	1766082
Abysmal Grief	760924
Accademia	1107052
Accordo dei Contrari	1546377
Achille Lauro	3781613
Achille Millo	1615158
Achille Togliani	917508
Acirne	1067157
Acqua Fragile	1136505
Ad Nauseam	4349144
Ada Montellanico	2292319
Ada Neri	1051279
Adel Valentine	2008212
Adramelch	1605129
Adriana Martino	1024685
Adriano Celentano	36543
Adriano Dodici	441786
Adriano Pappalardo	967476
Adriano Valle	1895424
Adversam	773372
Aeroplanitaliani	191844
Aeternal Seprium	5046038
Africa Unite	214561
Afterhours	344890
Agazzi	2061896
Aglaia	319339
Ago	162108
Agorà	1722084
Agostino Carollo	232050
Agricantus	97259
Ain Soph	72994
Aktuala	1775431
Al Bano	602861
Al Bano & Romina	303666
Al Castellana	774746
Al Doum & The Faryds	2484267
Al Korvin	889770
Alan Barry	19789
Alan Sorrenti	208751
Alba Parietti	160008
Albatros	439912
Albert One	6692
Alberto Baldan Bembo	10860
Alberto Bertoli	4321464
Alberto Boccardi	2668394
Alberto Camerini	145643
Alberto Cheli	1022419
Alberto Erede	833626
Alberto Fortis	639720
Alberto Fracasso	978260
Alberto Rabagliati	921305
Alberto Radius	342427
Alborosie	525093
Aldo Alvi	1338664
Aldo Donà	926915
Aldo Zunino	695580
Aleandro Baldi	771725
Aleph	23510
Alessandra Amoroso	1579899
Alessandra Novaga	4436754
Alessandro Bono	1537601
Alessandro Casillo	2086762
Alessandro Fain	40898
Alessandro Farace	1384
Alessandro Fiori	1079930
Alessandro Mannarino	1645255
Alessandro Monti	792920
Alessandro Picone	653448
Alessandro Safina	166481
Alessandro Tognetti	146183
Alessandro Ziliani	1342534
Alessio Mereu	814517
Alex Baroni	253491
Alex Britti	653853
Alex D'Elia	95919
Alex Gaudino	45912
Alex Gori	1484528
Alex Neri	16483
Alex Party	7282
Alex Puddu	527548
Alexander Robotnick	15975
Alexia	43736
Alfio Antico	389098
Alfredo Clerici	921314
Alice	345919
Alida Chelli	618714
Alio Die	45771
Alkemy	33905
Alkoholizer	2587760
Alltheniko	1369687
Almamegretta	64628
Alphataurus	1157743
Altar of Perversion	263174
Alter Ego	296125
Altro	1450204
Alunni del Sole	827219
Alusa Fallax	1401721
Alvaro Amici	1046329
Amalia Grè	758377
Ambra Angiolini	331346
Ambrogio Sparagna	800664
Amedeo Minghi	490247
Amedeo Tommasi	368085
Amelita Galli-Curci	883266
Amir Issaa	1700857
Amnesia	431537
Amnesys	244031
Amor Fou	1930767
Amycanbe	779992
Ancient Bards	2509686
Ancient Dome	2127028
Andrea Appino	1449554
Andrea Bocelli	318300
Andrea Chimenti	798540
Andrea Doria	40130
Andrea Ferlin	497722
Andrea Laszlo De Simone	5889157
Andrea Lombardini	2471633
Andrea Mingardi	398973
Andrea Mingardi Supercircus	2015090
Andrea Mirò	1805905
Andrea Nardinocchi	2612827
Andrea Parodi	1266413
Andrea Roma	996640
Andy Bono	1331280
Angel Death	1935167
Angela Baraldi	806786
Angela Denia	3189304
Angela Luce	1629390
Angelo Bada	883265
Angelo Baroncini	531283
Angelo Branduardi	199024
Angelo Cavallaro	3794796
Angelo Francesco Lavagnino	651438
Angelo Rossi	4824924
Angelo Servida	1282867
Angels of Darkness	20648
Anguana	6386072
AniMe	1373555
Anima Lunae	821327
Anna Identici	1031910
Anna Marchetti	2072505
Anna Oxa	297663
Anna Tatangelo	909769
Annalisa	3176593
Annalisa Minetti	1925467
Annarita Spinaci	2068516
Annie Barbazza	4759127
Anthony's Games	176145
Anti You	1625822
Anticappella	28421
Antico	44153
Antisgammo	1215669
Antonella Ruggiero	237325
Antonello Rondi	2117751
Antonello Venditti	380858
Antonietta Laterza	1070510
Antonio & Marcello	1602494
Antonio Ballista	589703
Antonio Basurto	1166520
Antonio Iglio	1621117
Antonio Infantino	275793
Antonio Maggio	3307862
Antonio Scotti	1341436
Antonio Sorrentino	2501089
Antonio Testa	217848
Antonio Vasquez	1456443
Antonius Rex	332069
Antropofagus	478911
Anuseye	2044071
Any Other	4631623
Après La Classe	2365367
Ardecore	1185514
Area	313917
Area II	2597396
Aretuska	381110
Argine	132370
Arianna Antinori	5713732
Ariete	8729557
Ariodante Dalla	3658917
Arisa	2752896
Arkè String Quartet	1128242
Armageddon Project	20654
Armando De Razza	1036618
Armando Gentilucci	2122553
Armando Savini	1967842
Armando Sciascia	261011
Armonite	3659924
Armonium	383180
Arpioni	1500699
Art of Fighters	20215
Arthemis	1908715
Arti & Mestieri	1030927
Articolo 31	232886
Arturo Stalteri	199257
Arturo Testa	970878
Ash Code	3844956
Asociale	1710647
Assalti Frontali	882101
Assedium	2905162
Assemblea Musicale Teatrale	1818287
Assumption	2988323
Astaroth	1953369
Atahualpa	28122
Ataraxia	149072
Atlante	178248
Atomic Mold	5388740
Aucan	1609939
Audio 2	1049601
Audiomatiques	2633219
Augusto Martelli	330493
Aura Safari	7259366
Aurelio Fierro	455009
Aurelio Gabrè	920376
Avion Travel	1400400
Axevyper	2925317
Azoto	25955
B for Bang	1743641
B.R. Stylers	963124
Baba Yaga	1187321
Babe Roots	4139794
Baby K	1983178
Baby's Gang	19800
Bachi da pietra	971927
Bacon Popper	24331
Bad Sector	73044
Bagarre	297755
Balanço	3754
Baltimora	106870
Banco del Mutuo Soccorso	353382
Band Aid	208700
Banda Bassotti	381115
Banda Osiris	361410
Bandabardò	1269926
Barbados Climax	421050
Barbara Cola	345493
Barbara Lory	1847235
Baryonyx	5979382
Bassa Clan	4269225
Bassi Maestro	774755
Baustelle	829559
Be Forest	2251320
Beatrice Antolini	1403733
Beatrik	837342
Beau Geste	2216656
Bebo Baldan	325421
Bee Bee Sea	4659835
Beholder	2531922
Belen Thomas	363457
Belfie & Toche	1742332
Bellini	409622
Benassi Bros.	171187
Bengi	475850
Beniamino Gigli	436167
Benny Benassi	93375
Beppe Gambetta	2053949
Betty Curtis	1061013
Biagio Antonacci	230620
Bichord	5094778
Big Fish	3324442
Big Joe	2736699
Biga	1425407
Biglietto per l'Inferno	629080
Billy More	50306
Bisca	233124
Bismark	6194
Bit-Max	67311
Black Box	7289
Black Hole	2137111
Black Legend	12963
Black Machine	32164
Black Oath	2108380
Black Rainbows	2330060
Blasphemophagher	1375622
Blast	19662
Blessed Child Opera	751757
Bliss Team	43978
Bloody Riot	1436055
Blown Paper Bags	1387838
Blue Stuff	2102859
Blue Vomit	472766
Bluebeaters	4184874
Blume	2763317
Bluvertigo	361408
Bob Corn	1374993
Bobby Solo	409131
Bobo Rondelli	1592797
Bochum Welt	982
Bologna Violenta	792226
Boohoos	766548
Boomdabash	2374816
Bossa Nostra	52613
Boston 168	3777272
Bottin	1181868
Bottomless	9709495
Brain Ovulation	82892
Brando Lupi	226822
Bravo	949719
Bresh	5641711
Brian Ice	36233
Briga	3778624
Brunetta	281969
Bruno Battisti D'Amario	314527
Bruno D'Andrea	1503582
Bruno Dasi	2668893
Bruno Filippini	1055710
Bruno Lauzi	374646
Bruno Martino	717590
Bruno Pallesi	870650
Bruno Quirinetta	1749761
Bruno Rosettani	921237
Bruno Venturini	1602980
Brunori Sas	2040072
Brünndl	4656985
Bud Spencer Blues Explosion	813928
Bugo	112699
Bulldozer	260862
Burial	7026596
By All Means	1052457
C.U.B.A. Cabbal	1701142
CCCP	256245
CFF e il Nomade Venerabile	3722494
CO.RO.	267031
CSI	146803
Cadaveria	449975
Cadaveric Crematorium	1589071
Cafè Caracas	1168355
Calcutta	971242
Calibro 35	1332277
Call the Cops	4607296
Calomito	1135929
Calvary	1242355
Camerata Mediolanense	149126
Campo di Marte	1678269
Campos	719509
Canaan	100081
Cani	1253585
Canova	5910987
Canton	274226
Cantovivo	2874976
Canzoniere Grecanico Salentino	2496156
Canzoniere Internazionale	1268486
Canzoniere del Lazio	1969325
Canzoniere delle Lame	1313214
Caparezza	200304
Capo Plaza	6413223
Cappella	7669
Carillon Del Dolore	718591
Carl Brave	5738143
Carla Boni	401635
Carlo Buti	899146
Carlo Dapporto	2676943
Carlo Moreno	1063398
Carlo Pierangeli	2628049
Carlo Tagliabue	1415870
Carmelo Zappulla	2118137
Carmen Consoli	360999
Carmen Russo	1595483
Carmen Villani	305274
Caronte	3018682
Carrara	44956
Casino Royale	214114
Catarrhal Noise	5198404
Caterina Barbieri	4041058
Caterina Bueno	1791649
Caterina Caselli	924805
Caterina Valente	294306
Catherine Spaak	319969
Cattive Abitudini	2022590
Celeste	1302431
Cervello	1184950
Cesare Basile	631484
Cesare Cremonini	904258
Cesare Poggi	2434213
Cesco Anselmo	600514
Change	17967
Charlie	2951466
Chase	44146
Checco Zalone	585186
Cheetah Chrome Motherfuckers	372560
Chef Ragoo	2473213
Chelmno	524516
Chester	36207
Chiara Civello	304615
Chicco Secci	27199
Chicoria	2091766
Chief e Soci	880686
Chiello	8746381
Children of Technology	1508022
Chominciamento Di Gioia	881597
Christian	3551407
Christian De Sica	2149873
Christian Meyer	1035112
Christy	281971
Chronics	2212191
Church of Violence	1696189
Ciao Fellini	176226
Cicci Santucci	45765
Cinzia Paglini	3603053
Circus Joy	73087
Ciro Sebastianelli	1747674
Clara Jaione	925020
Claudia Antonelli	2343633
Claudia Mori	311515
Claudio Baglioni	638411
Claudio Cataldi	1806922
Claudio Gizzi	634327
Claudio Lolli	1053623
Claudio Mattone	698822
Claudio PRC	881554
Claudio Rocchi	416225
Claudio Simonetti	149103
Claudio Simonetti's Goblin	3807015
Claudio Tallino	796680
Claudio Terni	1719275
Claudio Villa	781235
Claver Gold	2230066
Clem Sacco	890321
Clementino	1555525
Clio	154990
Clockwork	2686693
Club Dogo	726439
Club Paradiso	5947167
Clubhouse	37222
Cluster	2045896
Clustersun	4802961
CoCo	6549413
Cochi & Renato	712051
Coez	1711210
Colapesce	2684107
Colla Zio	12527926
Collage	1139724
Colle der Fomento	878867
Coma Cose	6717932
Comaneci	2187249
Computers	1741170
Comrades	191013
Concetta Barra	1724571
Concrete	1064001
Confrontational	4716542
Confusional Quartet	270982
Contrasto	251698
Contropotere	335762
Cor Veleno	1154037
Core Pusher	20196
Corona	23387
Corpsefucking Art	407880
Corrado Lojacono	1306279
Corrado Mantoni	1811943
Corte dei Miracoli	1189124
Cosimo Di Ceglie	890329
Cosmetic	2310191
Crash Box	313943
Cripple Bastards	253704
Cristiano De André	1131687
Cristiano Godano	1034969
Cristiano Malgioglio	732784
Cristina D'Avena	1260543
Cristina Donà	999466
Crookers	718833
Crown of Autumn	1683534
Cruisin' Gang	19803
Crunch	941233
Crying Steel	2017727
Cube	100358
Cultus Sanguine	269389
CxixB	3616273
Cyber People	19792
D'Arcangelo	2240
D. D. Sound	66617
DGM	1940603
DJ Cerla	38360
DJ D	688
DJ Dado	16362
DJ Double S	1607604
DJ Farrapo	521927
DJ Fary	198976
DJ Fastcut	3113929
DJ Francesco	213976
DJ Gius	11546
DJ Gruff	170972
DJ Herbie	11951
DJ Jad	183896
DJ Lancinhouse	37469
DJ Mad Dog	20231
DJ Miko	53440
DJ Myke	1709357
DJ Panda	51168
DJ Professor	13548
DJ Ross	62735
DJ Shocca	774745
DJ Skizo	79187
DJ Sossa	675499
DJ Stardust	71769
DJ Tennis	3024381
DJ Uovo	21057
DJ Vortex & Arpa's Dream	48526
DJ X-Fly	75815
Da Blitz	44496
Da Lukas	53976
Daemonia	275141
Daisy Lumini	1446975
Dalida	146664
Dan I	656105
Dandi & Ugo	313890
Dani Faiv	5790857
Daniel Sentacruz Ensemble	322459
Daniela Casa	659169
Daniela Davoli	342222
Daniela Goggi	729839
Daniele Baldelli	250959
Daniele Danieli	71522
Daniele Di Bonaventura	503228
Daniele Di Gregorio	378889
Daniele Gas	128930
Daniele Kama	1162238
Daniele Papini	782666
Daniele Patucchi	61499
Daniele Serra	1246948
Daniele Silvestri	382714
Daniele Tenca	3076546
Daniele Tignino	45801
Danilo Rea	630531
Danilo Vigorito	22748
Danny Keith	88801
Danny Trejo	3605072
Dargen D'Amico	1201631
Dario Baldan Bembo	380870
Dario Rodighiero	10312243
Dario Tilli	1971274
Dark Lunacy	700097
Dark Polo Gang	5264000
Dark Quarterer	311076
Datura	30878
Dave Rodgers	161889
David Riondino	780943
Davide Cedolin	7380580
Davide Ruberto	45484
Davide Shorty	5119299
Davide Squillace	32847
Davide Van De Sfroos	705364
DeLaVega	6182000
Dea Garbaccio	1460566
Deadsonika	1744976
Death SS	316312
Deathrage	913122
Deathrow	1208582
Deborah De Luca	3228307
Deca	73041
Decibel	1092394
Declino	426083
Dedalus	1085651
