artist	band	year
Claudio Cecchetto	883	1992
Marco Guarnerio	883	1992
Mauro Repetto	883	1992
Max Pezzali	883	1992
Pier Paolo Peroni	883	1992
Antonio Baglio	883	1993
Caterina Rappoccio	883	1993
Demo Morselli	883	1993
Manuela Pedratti	883	1993
Marco Guarnerio	883	1993
Mauro Repetto	883	1993
Max Pezzali	883	1993
Pier Paolo Peroni	883	1993
Roberto Manzin	883	1993
Marco Guarnerio	883	1994
Mauro Repetto	883	1994
Max Pezzali	883	1994
Pier Paolo Peroni	883	1994
Chiara Iezzi	883	1995
Daniele Moretto	883	1995
Demo Morselli	883	1995
Ivan Ciccarelli	883	1995
Jacopo Corso	883	1995
Leandro Misuriello	883	1995
Marco Guarnerio	883	1995
Mauro Repetto	883	1995
Max Pezzali	883	1995
Michele Monestiroli	883	1995
Paola Folli	883	1995
Paola Iezzi	883	1995
Paolo Jannacci	883	1995
Pier Paolo Peroni	883	1995
Sandro Verde	883	1995
Saturnino	883	1995
Alberto Tafuri	883	1997
Daniele Moretto	883	1997
Ivan Ciccarelli	883	1997
Marco Barusso	883	1997
Marco Guarnerio	883	1997
Max Pezzali	883	1997
Michele Monestiroli	883	1997
Pier Paolo Peroni	883	1997
Roberto Drovandi	883	1997
Roberto Priori	883	1997
Saturnino	883	1997
Andrea Pellegrini	883	1998
Andrea Ruffilli	883	1998
Anna Maria Gallingani	883	1998
Bruno Rondinella	883	1998
Eugenio Mori	883	1998
Francesca Ruffilli	883	1998
Giuseppe Ambrosini	883	1998
Lorenzo Amadasi	883	1998
Marco Guarnerio	883	1998
Matteo Salvadori	883	1998
Max Pezzali	883	1998
Pier Paolo Peroni	883	1998
Roberta Ruffilli	883	1998
Roberto Melone	883	1998
Alberto Tafuri	883	1999
Alessia Barzanò	883	1999
Andrea Bordonali	883	1999
Andrea Griminelli	883	1999
Andrea Ruffilli	883	1999
Anna Maria Gallingani	883	1999
Daniele Moretto	883	1999
Emanuela Zani	883	1999
Eugenio Mori	883	1999
Fabrizio Frigeni	883	1999
Francesca Ruffilli	883	1999
Igor Codeluppi	883	1999
Katia Guidolin	883	1999
Lalla Francia	883	1999
Lola Feghaly	883	1999
Luca Santaniello	883	1999
Marco Guarnerio	883	1999
Maria Grazia Errigo	883	1999
Matteo Salvadori	883	1999
Maurizio Glielmo	883	1999
Max Pezzali	883	1999
Michele Monestiroli	883	1999
Paul Rosette	883	1999
Pier Paolo Peroni	883	1999
Roberta Ruffilli	883	1999
Stefano De Maco	883	1999
Marco Guarnerio	883	2000
Max Pezzali	883	2000
Pier Paolo Peroni	883	2000
Alberto Tafuri	883	2001
Alex Britti	883	2001
BJ Cole	883	2001
Carlo Ubaldo Rossi	883	2001
Claudio Borrelli	883	2001
Daniele Moretto	883	2001
Dario Cantelmo	883	2001
Elena Bacciolo	883	2001
Eugenio Mori	883	2001
Fabrizio Frigeni	883	2001
J-Ax	883	2001
Jovanotti	883	2001
Kenny Wheeler	883	2001
Marco Guarnerio	883	2001
Matteo Bassi	883	2001
Matteo Cantaluppi	883	2001
Matteo Salvadori	883	2001
Max Pezzali	883	2001
Michele Monestiroli	883	2001
Pier Foschi	883	2001
Pier Paolo Peroni	883	2001
Roberta Bacciolo	883	2001
Roberta Magnetti	883	2001
Saturnino	883	2001
Syria	883	2001
Alberto Tafuri	883	2002
