src	trg	nij	score	sdev_cij
401	326376	1	0.9991378527997096	
401	1707752	1	0.9987070578761724	
649	4134	8	0.9988189900167085	
649	5944	1	0.9955723902864357	
649	16483	1	0.991546876412621	
649	19667	1	0.9883000028206358	
649	27216	3	0.9983935257196532	
649	27927	1	0.9917381992438926	
649	28122	3	0.9985861663560517	
649	30336	1	0.9980725405049944	
649	33766	7	0.9988706085183988	
649	38360	1	0.9940369437922548	
649	52456	1	0.9980725405049944	
649	58807	2	0.9958605497937353	
649	61850	1	0.9969178470254958	
649	79352	6	0.9984256299134097	
649	208700	1	0.9903997108618801	
649	1038379	1	0.9900176159718145	
649	2280053	1	0.9917381992438926	
649	3405142	1	0.9875375705593431	
688	15310	2	0.9946952404308702	
688	20196	1	0.995696684181917	
688	20215	1	0.9872872914262516	
688	20226	4	0.9970573958897978	
688	20231	1	0.9853022354571366	
688	20464	5	0.9995400956419523	
688	20648	5	0.9995688334676001	
688	20650	1	0.9936948012278545	
688	23406	1	0.995696684181917	
688	82892	1	0.9992814923781468	
688	104621	1	0.9948382422856625	
688	111455	12	0.9997005590719726	
688	119945	2	0.997559178584248	
688	1373555	1	0.993551963257503	
903	1188	1	0.9994175910203125	
903	19788	2	0.9975478573978951	
903	23387	2	0.9980045803950024	
903	371805	3	0.9911480927472989	
903	385292	1	0.9813254332758068	
982	161835	2	0.991355590334081	
982	237324	1	0.988363565247152	
982	361408	2	0.991228086694676	
982	1888659	1	0.9949323336358337	
982	3324442	1	0.9891902467656338	
1188	3941	2	0.9987826225033365	
1188	12503	1	0.9988355211420966	
1188	16362	1	0.9958775029446407	
1188	19799	1	0.9857496459947641	
1188	22367	3	0.9999293869017747	
1188	43818	1	0.9973025965341765	
1188	342257	2	0.9997087531039544	
1188	3035714	1	0.9832467410672419	
1383	1384	4	0.9991662010816698	
1383	1790	8	0.9985875829688685	
1383	1944	6	0.9992896829761212	
1383	4266	2	0.9985181713024216	
1383	9066	2	0.9981480571607827	
1383	22748	5	0.9978890588172608	
1383	32845	5	0.997556159588673	
1383	32847	5	0.9978520645348042	
1383	202097	1	0.9856452321663981	
1383	559246	1	0.9970385367954249	
1383	780742	1	0.9962995408409859	
1383	790612	1	0.9953765646554409	
1383	1173236	1	0.9929808159895654	
1383	1684763	1	0.9922448195168274	
1383	2633219	1	0.9946387979739862	
1383	3693507	2	0.9989810068370849	
1383	3818594	1	0.9975931429132795	
1384	1790	2	0.9979252994427785	
1384	1944	1	0.9984350725196467	
1384	9066	1	0.9986390545965931	
1384	22748	2	0.9980612134989427	
1384	32845	1	0.9955158981791828	
1384	32847	1	0.9960583544762596	
1384	202097	1	0.9947027663331371	
1384	559246	1	0.9989110954833148	
1384	790612	1	0.9982991075984533	
1384	1684763	1	0.9971441523118767	
1384	3693507	1	0.9992512507515854	
1384	3818594	1	0.9991151747529863	
1504	4134	1	0.9929808159895654	
1504	4240	1	0.9955535592286293	
1504	4663	13	0.99951356915144	
