year,variance,pvalue_color
1906,0.0,#f46d43
1907,0.02040812464394748,#ffffff
1908,0.0,#f46d43
1909,0.0,#f46d43
1910,0.024525599937676314,#ffffff
1911,0.08328842678255485,#ffffff
1912,0.3522359544054023,#ffffff
1913,0.30975655675530345,#ffffff
1914,0.28253043496397534,#ffffff
1915,1.1189397589513126,#d9ef8b
1916,0.02040812464394748,#ffffff
1917,0.0,#f46d43
1919,0.04467414276822709,#ffffff
1920,0.0,#f46d43
1921,0.0713918595730095,#ffffff
1922,0.030550470743468755,#fdae61
1923,0.7262248699841418,#ffffff
1924,0.21116083804385377,#ffffff
1925,0.6681417726106778,#ffffff
1926,0.763621557561409,#ffffff
1927,0.6795634004370014,#ffffff
1928,0.4150774032591629,#ffffff
1929,0.44710520600267656,#ffffff
1930,0.45343531071351206,#ffffff
1931,0.30091783717443393,#ffffff
1932,0.06418943851264469,#f46d43
1933,0.008618244197653273,#f46d43
1934,0.005594885251731045,#f46d43
1935,0.010267012788281842,#f46d43
1936,0.01481980540742164,#f46d43
1937,0.007953382630780631,#f46d43
1938,0.008375685443863462,#f46d43
1939,0.00897173612222056,#f46d43
1940,0.012062082971397568,#f46d43
1941,0.008614004394811055,#f46d43
1942,0.01133143764514417,#f46d43
1943,0.008922397901055187,#f46d43
1944,0.00719954863079276,#f46d43
1945,0.006929994523703142,#f46d43
1946,0.007494636678433424,#f46d43
1947,0.014421309565423273,#f46d43
1948,0.014114388333210548,#f46d43
1949,0.07097134130458005,#f46d43
1950,0.006846008513878479,#f46d43
1951,0.0071533595203736216,#f46d43
1952,0.006708117998904851,#f46d43
1953,0.0069756700972691925,#f46d43
1954,0.010034503847465365,#f46d43
1955,0.009021961719325752,#f46d43
1956,0.008644666437293561,#f46d43
1957,0.010420551801141044,#f46d43
1958,0.007586039710173402,#f46d43
1959,0.009993073137830544,#f46d43
1960,0.007265331765783064,#f46d43
1961,0.008141498133248957,#f46d43
1962,0.008839894751428866,#f46d43
1963,0.00914429828289378,#f46d43
1964,0.013976071236460956,#f46d43
1965,0.010401536480150863,#f46d43
1966,0.015482630898369503,#f46d43
1967,0.03892715587743198,#f46d43
1968,0.09870071297694749,#fdae61
1969,0.10637876672176766,#fdae61
1970,0.13263580876674183,#fee08b
1971,0.16866603195007995,#fdae61
1972,0.13282342759569418,#fdae61
1973,0.24731559646605294,#ffffff
1974,0.43354389092680956,#ffffff
1975,0.48221957883028854,#ffffff
1976,0.30010761032824895,#ffffff
1977,0.5635702608822409,#ffffff
1978,0.38400657484745504,#ffffff
1979,0.7392019001875343,#a6d96a
1980,0.6707480553920114,#d9ef8b
1981,0.7908003309327359,#a6d96a
1982,0.9166043518685576,#66bd63
1983,0.6341580413168979,#d9ef8b
1984,1.0847902116930932,#66bd63
1985,1.1562240519405158,#66bd63
1986,0.6093196182623595,#d9ef8b
1987,1.0859798154983034,#66bd63
1988,1.0200723909607703,#66bd63
1989,0.8018284053430924,#66bd63
1990,0.862021315964344,#66bd63
1991,0.800297687975465,#66bd63
1992,0.8415320786094167,#66bd63
1993,0.7556181498117063,#a6d96a
1994,0.9626477883992599,#66bd63
1995,0.8827422607391404,#66bd63
1996,0.6213273299330424,#d9ef8b
1997,0.7024465837450218,#a6d96a
1998,0.5854835331004086,#ffffff
1999,0.6951275584852642,#a6d96a
2000,0.7475981471350172,#a6d96a
2001,0.7630842018169619,#66bd63
2002,0.3944706069422306,#ffffff
2003,0.5272738356255977,#ffffff
2004,0.43656113367166177,#ffffff
2005,0.7325797437941166,#a6d96a
2006,0.24272612922695824,#ffffff
2007,0.4138196474934295,#ffffff
2008,0.478200454636863,#ffffff
2009,0.5106233201804107,#ffffff
2010,0.5189821267067567,#ffffff
2011,0.5253312057113255,#ffffff
2012,0.38743475060886295,#ffffff
2013,0.25411044250914955,#fee08b
2014,0.38827727030764736,#ffffff
2015,0.4675166821114362,#ffffff
2016,0.4676308611918706,#ffffff
2017,0.5778927726579541,#d9ef8b
2018,0.385470812275595,#ffffff
2019,0.26565565673691227,#ffffff
2020,0.3259200992076313,#ffffff
2021,0.3003460419834056,#ffffff
2022,0.24854275806662368,#ffffff
2023,0.31101266040446507,#ffffff
2024,0.30618236155990886,#ffffff
