k,count,cumsum
46,1,0.00011156978690170702
40,1,0.00022313957380341404
39,1,0.00033470936070512103
37,3,0.0006694187214102421
34,3,0.001004128082115363
33,1,0.0011156978690170702
31,1,0.0012272676559187772
30,1,0.0013388374428204841
29,2,0.0015619770166238982
28,5,0.0021198259511324333
27,5,0.0026776748856409682
26,3,0.0030123842463460897
25,6,0.0036818029677563317
24,6,0.004351221689166573
23,9,0.0053553497712819365
22,10,0.006471047640299007
21,11,0.0076983152962177845
20,17,0.009595001673546804
19,27,0.012607385919892893
18,39,0.016958607609059467
17,50,0.022537096954144818
16,70,0.030346982037264308
15,106,0.04217337944884525
14,119,0.05545018409014839
13,216,0.0795492580609171
12,181,0.09974338949012608
11,231,0.12551601026442039
10,442,0.1748298560749749
9,489,0.22938748186990962
8,575,0.29354010933839114
7,585,0.35880843467588974
6,705,0.43746513444159324
5,778,0.5242664286511213
4,850,0.6191007475175723
3,783,0.7064598906616089
2,731,0.7880174048867566
1,1900,1.0
