k,count,cumsum
32,1,0.0024096385542168677
31,2,0.007228915662650603
29,1,0.00963855421686747
28,2,0.014457831325301205
27,5,0.02650602409638554
26,4,0.03614457831325301
24,6,0.05060240963855422
23,3,0.05783132530120482
22,6,0.07228915662650602
21,6,0.08674698795180723
20,2,0.09156626506024096
19,8,0.1108433734939759
18,9,0.13253012048192772
17,15,0.1686746987951807
16,16,0.20722891566265061
15,8,0.22650602409638554
14,13,0.25783132530120484
13,17,0.2987951807228916
12,13,0.3301204819277108
11,21,0.38072289156626504
10,21,0.43132530120481927
9,16,0.46987951807228917
8,22,0.5228915662650603
7,20,0.5710843373493976
6,32,0.6481927710843374
5,32,0.7253012048192771
4,26,0.7879518072289157
3,16,0.8265060240963855
2,32,0.9036144578313253
1,40,1.0
