year,0
1902,4
1904,2
1905,2
1906,17
1907,9
1908,16
1909,17
1910,10
1911,6
1912,6
1913,8
1914,10
1915,12
1916,3
1917,27
1918,9
1919,10
1920,13
1921,14
1922,8
1923,25
1924,6
1925,14
1926,12
1927,12
1928,25
1929,14
1930,19
1931,10
1932,16
1933,9
1934,15
1935,14
1936,16
1937,13
1938,42
1939,37
1940,35
1941,43
1942,56
1943,58
1944,39
1945,35
1946,48
1947,52
1948,59
1949,77
1950,50
1951,54
1952,51
1953,84
1954,101
1955,113
1956,153
1957,141
1958,189
1959,193
1960,253
1961,226
1962,249
1963,235
1964,277
1965,301
1966,398
1967,339
1968,423
1969,494
1970,500
1971,552
1972,713
1973,773
1974,802
1975,818
1976,987
1977,1021
1978,991
1979,1192
1980,964
1981,840
1982,978
1983,1057
1984,1030
1985,1208
1986,1019
1987,907
1988,1209
1989,1185
1990,1198
1991,1185
1992,1536
1993,1424
1994,1559
1995,1643
1996,1608
1997,1595
1998,1488
1999,1839
2000,1695
2001,1842
2002,1857
2003,1941
2004,2010
2005,1752
2006,1892
2007,2093
2008,2017
2009,2183
2010,1985
2011,2157
2012,1929
2013,2055
2014,2136
2015,2210
2016,2025
2017,1938
2018,1771
2019,1536
2020,1447
2021,1380
2022,1297
2023,1105
2024,137
