year,0
1902,2
1904,1
1905,1
1906,9
1907,5
1908,6
1909,7
1910,6
1911,3
1912,4
1913,5
1914,6
1915,5
1916,1
1917,10
1918,4
1919,6
1920,5
1921,5
1922,4
1923,11
1924,4
1925,9
1926,6
1927,5
1928,12
1929,6
1930,7
1931,4
1932,8
1933,6
1934,7
1935,7
1936,6
1937,6
1938,13
1939,17
1940,19
1941,20
1942,30
1943,33
1944,21
1945,14
1946,24
1947,26
1948,27
1949,37
1950,23
1951,22
1952,25
1953,35
1954,43
1955,60
1956,65
1957,64
1958,80
1959,87
1960,98
1961,90
1962,99
1963,97
1964,107
1965,111
1966,128
1967,119
1968,140
1969,162
1970,153
1971,161
1972,184
1973,195
1974,200
1975,188
1976,224
1977,223
1978,205
1979,208
1980,192
1981,178
1982,194
1983,215
1984,217
1985,229
1986,206
1987,190
1988,230
1989,221
1990,208
1991,225
1992,280
1993,262
1994,273
1995,294
1996,288
1997,282
1998,271
1999,316
2000,299
2001,320
2002,314
2003,317
2004,342
2005,319
2006,331
2007,374
2008,363
2009,367
2010,348
2011,378
2012,372
2013,357
2014,380
2015,398
2016,356
2017,366
2018,349
2019,303
2020,247
2021,250
2022,239
2023,204
2024,32
