k,count,cumsum
88,1,3.446611980423244e-05
58,1,6.893223960846487e-05
55,2,0.00013786447921692975
54,2,0.00020679671882539464
53,1,0.00024126283862962707
51,2,0.00031019507823809193
50,1,0.0003446611980423244
49,2,0.0004135934376507893
48,8,0.0006893223960846488
47,4,0.0008271868753015786
46,5,0.0009995174743227407
45,6,0.0012063141931481353
44,5,0.0013786447921692977
43,9,0.0016888398704073895
42,11,0.0020679671882539463
41,3,0.0021713655476666436
40,10,0.0025160267457089683
39,14,0.0029985524229682223
38,20,0.003687874819052871
37,26,0.004583993933962915
36,25,0.005445646929068726
35,33,0.0065830288826083955
34,22,0.00734128351830151
33,52,0.009133521748121596
32,47,0.010753429378920522
31,59,0.012786930447370235
30,114,0.016716068105052734
29,105,0.02033501068449714
28,103,0.02388502102433308
27,189,0.03039911766733301
26,150,0.03556903563796788
25,250,0.04418556558902599
24,203,0.05118218790928517
23,245,0.05962638726132212
22,308,0.07024195216102572
21,357,0.0825463569311367
20,388,0.09591921141517888
19,456,0.11163576204590887
18,483,0.12828289791135314
17,611,0.14934169711173917
16,619,0.17067622527055903
15,883,0.2011098090576963
14,975,0.23471427586682292
13,1097,0.27252360929206587
12,1345,0.3188805404287585
11,1505,0.37075205073412837
10,1563,0.42462259598814367
9,1712,0.4836285930929896
8,1813,0.546115668298063
7,2023,0.6158406286620253
6,2226,0.6925622113462466
5,2142,0.7663886399669125
4,2059,0.8373543806438272
3,1662,0.8946370717584614
2,1283,0.9388571034672917
1,1774,1.0
