k,count,cumsum
48,1,0.0004086636697997548
41,1,0.0008173273395995096
40,2,0.0016346546791990192
38,1,0.002043318348998774
37,1,0.002451982018798529
35,1,0.0028606456885982836
34,2,0.0036779730281977932
32,2,0.004495300367797303
29,2,0.0053126277073968125
28,1,0.005721291377196567
27,4,0.0073559460563955865
26,3,0.00858193706579485
25,5,0.010625255414793625
24,4,0.012259910093992644
23,1,0.012668573763792398
22,2,0.013485901103391908
21,6,0.015937883122190438
20,6,0.018389865140988965
19,7,0.02125051082958725
18,19,0.029015120555782592
17,13,0.0343277482631794
16,30,0.046587658357172046
15,20,0.054760931753167146
14,20,0.06293420514916225
13,29,0.07478545157335513
12,32,0.08786268900694728
11,45,0.10625255414793625
10,55,0.12872905598692277
9,85,0.1634654679199019
8,110,0.20841847159787494
7,147,0.2684920310584389
6,188,0.3453208009807928
5,242,0.4442174090723335
4,270,0.5545565999182672
3,345,0.6955455659991827
2,373,0.8479771148344912
1,372,1.0
