artist_id	band	country	italian_count	danish_count	rank	entropy
303666	Al Bano & Romina	Italy	1	1	0.5	1.0
3889690	Noha	Italy	4	6	0.6	0.97
756252	Horrid	Italy	1	2	0.67	0.92
6298973	Xenoblight	Denmark	1	2	0.33	0.92
689272	På Slaget 12	Denmark	1	2	0.33	0.92
234846	Efterklang	Denmark	5	11	0.31	0.9
1678269	Campo di Marte	Italy	5	2	0.29	0.86
4380179	Temperance	Italy	29	10	0.26	0.82
1953369	Astaroth	Italy	3	1	0.25	0.81
4483	Brother Brown	Denmark	1	3	0.25	0.81
148640	Noir	Denmark	3	1	0.75	0.81
96207	Soulmagic	Denmark	2	6	0.25	0.81
184379	Simone Vitullo	Italy	3	1	0.25	0.81
527548	Alex Puddu	Italy	10	3	0.23	0.78
821003	Robertino	Italy	10	3	0.23	0.78
1955063	Fleshgod Apocalypse	Italy	3	10	0.77	0.78
251799	Mercyful Fate	Denmark	2	7	0.22	0.76
2800299	Maceration	Denmark	3	11	0.21	0.75
277227	Pretty Maids	Denmark	3	11	0.21	0.75
1001887	Fate	Denmark	3	11	0.21	0.75
1402353	Daily Fauli	Denmark	1	4	0.2	0.72
649116	Lars Lilholt	Denmark	1	4	0.2	0.72
265585	Novembre	Italy	8	2	0.2	0.72
13256076	Asinhell	Denmark	2	9	0.18	0.68
3652537	VOLA	Denmark	2	9	0.18	0.68
373253	Royal Hunt	Denmark	2	9	0.18	0.68
1805807	Undergang	Denmark	1	5	0.17	0.65
689281	Gitte Hænning	Denmark	5	1	0.83	0.65
4462604	Stamina	Italy	5	1	0.17	0.65
3088584	S.A.M.	Denmark	1	5	0.17	0.65
21137	Kid Crème	Italy	5	1	0.17	0.65
568481	Skagarack	Denmark	2	11	0.15	0.62
420562	Elvenking	Italy	23	4	0.15	0.61
272366	Hatesphere	Denmark	3	17	0.15	0.61
1382056	Strike	Italy	6	1	0.14	0.59
4205	Giorgio Moroder	Italy	6	1	0.14	0.59
292657	Gepy & Gepy	Italy	6	1	0.14	0.59
66617	D. D. Sound	Italy	6	1	0.14	0.59
252162	King Diamond	Denmark	1	6	0.14	0.59
257957	Dizzy Mizz Lizzy	Denmark	2	13	0.13	0.57
66837	Righeira	Italy	7	1	0.12	0.54
1954760	Sacri Cuori	Italy	14	2	0.12	0.54
304789	Nekromantix	Denmark	1	7	0.12	0.54
507282	Marcello Giordani	Italy	7	1	0.12	0.54
256131	Illdisposed	Denmark	2	14	0.12	0.54
640070	Nina & Frederik	Denmark	1	8	0.11	0.5
472460	Den Gale Pose	Denmark	1	8	0.11	0.5
257293	Psyched Up Janis	Denmark	1	8	0.11	0.5
1599156	Iceage	Denmark	2	17	0.11	0.49
7954	Marshall	Italy	9	1	0.1	0.47
667866	Magtens Korridorer	Denmark	2	18	0.1	0.47
278379	Konkhra	Denmark	1	9	0.1	0.47
6184259	Måneskin	Italy	9	1	0.1	0.47
855152	Dúné	Denmark	2	19	0.1	0.45
316085	Tina Dickow	Denmark	1	10	0.09	0.44
272991	D-A-D	Denmark	1	10	0.09	0.44
61499	Daniele Patucchi	Italy	10	1	0.09	0.44
2040069	Erica Mou	Italy	10	1	0.09	0.44
2212191	Chronics	Italy	10	1	0.09	0.44
537021	Volbeat	Denmark	2	21	0.09	0.43
1443493	Pathosray	Italy	1	11	0.92	0.41
1708425	Federico Albanese	Italy	11	1	0.08	0.41
405691	Artillery	Denmark	1	11	0.08	0.41
464765	Powersolo	Denmark	1	12	0.08	0.39
1589669	The Old Man & The Sea	Denmark	1	12	0.08	0.39
276847	Federico Scavo	Italy	12	1	0.08	0.39
18466	Frank 'O Moiraghi	Italy	12	1	0.08	0.39
899263	Marie Key	Denmark	1	12	0.08	0.39
89814	Swan Lee	Denmark	1	13	0.07	0.37
258050	Nephew	Denmark	1	13	0.07	0.37
1100480	The Bloody Beetroots	Italy	13	1	0.07	0.37
3464060	Bodil Steen	Denmark	1	13	0.07	0.37
3341	Filur	Denmark	1	14	0.07	0.35
40716	Puddu Varano	Denmark	1	15	0.06	0.34
1622094	Sivas	Denmark	1	15	0.06	0.34
273097	Peter Sommer	Denmark	1	15	0.06	0.34
1883733	MØ	Denmark	1	16	0.06	0.32
94083	Giardini di Mirò	Italy	16	1	0.06	0.32
38417	Dr. Baker	Denmark	1	16	0.06	0.32
1448416	Bjørn Tidmand	Denmark	1	18	0.05	0.3
202428	Nicola Fasano	Italy	20	1	0.05	0.28
1330230	Offlaga Disco Pax	Italy	21	1	0.05	0.27
1544699	Medina	Denmark	1	22	0.04	0.26
1572099	Fine Before You Came	Italy	22	1	0.04	0.26
1825984	Birthe Wilke	Denmark	1	25	0.04	0.24
13785	Dino Lenny	Italy	28	1	0.03	0.22
3017772	Christian Arhoff	Denmark	1	31	0.03	0.2
514821	Genius	Italy	36	1	0.03	0.18
1822027	Neel	Italy	10	0	0.0	-0.0
1647125	Neo	Italy	5	0	0.0	-0.0
2808127	NH3	Italy	25	0	0.0	-0.0
488185	NDKj	Italy	3	0	0.0	-0.0
250400	News	Denmark	0	1	0.0	-0.0
19797	N.O.I.A.	Italy	9	0	0.0	-0.0
599873	N.A.D.M.A.	Italy	7	0	0.0	-0.0
349217	Negrita	Italy	8	0	0.0	-0.0
4239619	Møl	Denmark	0	6	0.0	-0.0
597711	Neil on Impression	Italy	15	0	0.0	-0.0
